date,ticker,return_1m,index_return,target,return_lag1,ret_3m,ret_6m,vol_3m,vol_6m,excess_return,rank_ret_3m,inflation,unemployment,interest_rate
2014-04-01,SAN.PA,0.03091971755122902,0.011636447933167648,0,0.0046462850157369395,-0.016617613180043178,0.012839012905766278,0.04623385011155203,0.036802948800582734,0.01928326961806137,0.45,0.5,8.2,0.25
2014-05-01,SAN.PA,0.005383134717937832,0.014447958701143904,1,0.03091971755122902,0.07031864061339754,-0.0038603634525735675,0.01638788693684261,0.033123181223545205,-0.009064823983206072,0.5,0.7,8.2,0.25
2014-06-01,SAN.PA,0.02588458022482465,-0.005042256959091107,1,0.005383134717937832,0.04094913728490379,0.010435621999646205,0.014960800265372609,0.03292293507449392,0.030926837183915756,0.45,0.5,7.8,0.25
2014-07-01,SAN.PA,0.013405505990228939,-0.03491995044041496,1,0.02588458022482465,0.0621874324939915,0.04556981931394832,0.013526387412320835,0.03369303580587262,0.0483254564306439,0.5,0.5,8.3,0.15
2014-08-01,SAN.PA,0.062070635764779336,0.01833403611859108,1,0.013405505990228939,0.04467322093299142,0.11499186154638896,0.010331142260619028,0.013116442117371547,0.04373659964618826,0.7,0.4,7.9,0.15
2014-09-01,SAN.PA,0.0725749111152747,0.016799958014918293,0,0.062070635764779336,0.10136072197983292,0.14230985926473672,0.025276645232529937,0.021604298670134445,0.055774953100356406,0.95,0.4,8.1,0.15
2014-10-01,SAN.PA,-0.17753469152508816,-0.03490772139120191,1,0.0725749111152747,0.14805105287028297,0.21023848536427447,0.03156911243463734,0.026787699602735263,-0.14262697013388625,0.95,0.3,7.9,0.05
2014-11-01,SAN.PA,0.05701872013748188,0.04420035854320825,1,-0.17753469152508816,-0.04288914464503413,0.0017840762879572925,0.14146605364258696,0.09112257127426716,0.01281836159427363,0.35,0.4,8.1,0.05
2014-12-01,SAN.PA,-0.028255743877716566,-0.032144648515159635,1,0.05701872013748188,-0.04794106027233158,0.05341966170750134,0.14012619986593564,0.09408899163037521,0.003888904637443069,0.2,0.3,8.1,0.05
2015-01-01,SAN.PA,0.08379592383809631,0.06515638810323932,0,-0.028255743877716566,-0.14877171526532285,-0.0007206623950398727,0.1187232365253584,0.09472865541381642,0.018639535734856993,0.15,-0.2,7.6,0.05
2015-02-01,SAN.PA,0.069512130684942,0.07386677455716995,1,0.08379592383809631,0.11255890009786162,0.0696697554528275,0.05851542401936791,0.10089672686975097,-0.004354643872227948,0.55,-0.6,7.9,0.05
2015-03-01,SAN.PA,0.04823267970295553,0.027335338375243046,1,0.069512130684942,0.12505231064532174,0.07711125037299016,0.06098928906132723,0.10168370069490716,0.020897341327712482,0.55,-0.3,8.0,0.05
